SimpleCosine, Cos
-0.4161473675572018, -0.4161468365471424
-0.4132886499411103, -0.4132881455294486
-0.4104258544877354, -0.4104253755246096
-0.407559009409761, -0.4075585547870096
-0.4046881429610671, -0.4046877116110119
-0.4018132834364241, -0.4018128743306796
-0.3989344591711864, -0.3989340713194962
-0.396051698540987, -0.3960513309900849
-0.3931650299614308, -0.3931646817939292
-0.3902744818877891, -0.3902741522210912
-0.3873800828146934, -0.3873797707999309
-0.3844818612758293, -0.3844815660968243
-0.3815798458436304, -0.3815795667158817
-0.3786740651289726, -0.3786738012986656
-0.3757645477808679, -0.3757642985239075
-0.3728513224861583, -0.3728510871072251
 -0.36993441796921, -0.3699341958008391
-0.3670138629916071, -0.367013653393289
-0.3640896863518457, -0.3640894887091493
-0.3611619168850281, -0.361161730608745
-0.3582305834625564, -0.3582304079878663
-0.3552957149918268, -0.3552955497774843
-0.3523573404159233, -0.3523571849434647
-0.349415488713312, -0.349415342486282
-0.3464701888975348, -0.3464700514407336
-0.3435214700169033, -0.3435213408756531
-0.3405693611541935, -0.3405692398936234
-0.3376138914263386, -0.3376137776306893
-0.3346550899841242, -0.3346549832560701
-0.3316929860118812, -0.331692885971872
-0.3287276087271808, -0.3287275150127991
-0.3257589873805275, -0.3257588996458656
-0.3227871512550539, -0.3227870691701069
-0.3198121296662141, -0.3198120529162899
-0.316833951961478, -0.3168338802466239
-0.3138526475200252, -0.3138525805544709
-0.310868245752439, -0.3108681832640553
-0.3078807761004003, -0.3078807178301734
-0.3048902680363816, -0.304890213737903
-0.3018967510633411, -0.3018967005023122
-0.2989002547144164, -0.298900207668168
-0.295900808552619, -0.295900764809645
-0.2928984421705276, -0.2928984015300333
-0.2898931851899827, -0.2898931474614465
-0.2868850672617803, -0.2868850322645287
-0.2838741180653656, -0.2838740856281627
-0.2808603673085276, -0.2808603372691761
-0.2778438447270926, -0.2778438169320486
-0.2748245800846184, -0.2748245543886181
-0.2718026031720882, -0.2718025794377869
-0.2687779438076044, -0.2687779219052278
-0.2657506318360832, -0.2657506116430896
-0.2627206971289477, -0.2627206785297022
-0.2596881695838227, -0.2596881524692825
-0.2566530791242281, -0.2566530633916381
-0.2536154556992731, -0.2536154412518732
-0.2505753292833503, -0.2505753160300918
-0.2475327298758294, -0.2475327177311025
-0.2444876875007515, -0.2444876763841222
-0.2414402322065229, -0.2414402220424797
-0.2383903940656089, -0.238390384783319
-0.2353382031742282, -0.2353381947073025
-0.2322836896520467, -0.2322836819383142
-0.229226883641871, -0.2292268766231618
-0.2261678153093434, -0.2261678089312798
-0.2231065148426349, -0.2231065090544313
-0.2200430124521399, -0.2200430072064102
-0.2169773383701695, -0.2169773336227429
-0.213909522850646, -0.2139095185603901
-0.2108395961687968, -0.2108395922974478
-0.2077675886208483, -0.2077675851328489
-0.2046935305237197, -0.2046935273860639
-0.2016174522147174, -0.2016174493968018
-0.1985393840512285, -0.1985393815247104
-0.1954593564104152, -0.1954593541490769
-0.1923773996889086, -0.192377397668528
-0.1892935443025026, -0.1892935425007301
-0.186207820685848, -0.1862078190820886
-0.1831202592921463, -0.183120257867448
-0.1800308905928442, -0.1800308893297908
-0.1769397450773268, -0.1769397439599373
-0.1738468532526122, -0.1738468522662444
-0.1707522456430452, -0.1707522447743044
-0.1676559527899914, -0.167655952026644
-0.164558005251531, -0.1645580045824225
-0.1614584336021531, -0.1614584330171306
-0.1583572684324494, -0.1583572679222882
-0.155254540348808, -0.1552545399051428
-0.1521502799731082, -0.1521502795883673
-0.1490445179424135, -0.1490445176097579
-0.1459372849086661, -0.1459372846219313
-0.1428286115383808, -0.1428286112920228
-0.139718528512339, -0.1397185283013831
-0.1366070665252827, -0.1366070663452757
-0.1334942562856082, -0.133494256132574
-0.1303801285150606, -0.1303801283854581
-0.1272647139484274, -0.1272647138391116
-0.1241480433332324, -0.1241480432414183
 -0.12103014742943, -0.1210301473526589
-0.1179110570090991, -0.1179110569452069
-0.1147908028561368, -0.1147908028032255
-0.1116694157659528, -0.1116694157223633
-0.108546926545163, -0.1085469265094507
-0.1054233660112838, -0.1054233659821957
-0.1022987649924258, -0.1022987649688795
-0.09917315432698806, -0.09917315430805278
-0.09604656486335178, -0.09604656484823086
-0.09291902745957452, -0.09291902744758945
-0.08979057298308407, -0.08979057297366007
-0.08666123231037247, -0.08666123230302535
-0.08353103632668996, -0.08353103632101436
-0.08040001592573895, -0.08040001592139773
-0.07726820200936807, -0.07726820200608274
-0.07413562548726609, -0.0741356254848084
-0.07100231727665587, -0.07100231727484029
-0.06786830830198849, -0.06786830830066545
-0.064733629494637, -0.06473362949368725
-0.0615983117925906, -0.06159831179191996
-0.05846238614014855, -0.05846238613968353
-0.05532588348761412, -0.05532588348729812
-0.0521888347909886, -0.05218883479077865
-0.04905127101166529, -0.04905127101152929
-0.04591322311612345, -0.04591322311603784
-0.04277472207562231, -0.04277472207557016
-0.03963579886589504, -0.03963579886586444
-0.03649648446684273, -0.03649648446682553
-0.03335680986222835, -0.03335680986221917
-0.03021680603937078, -0.03021680603936615
-0.02707650398883872, -0.02707650398883654
-0.02393593470414475, -0.02393593470414379
-0.02079512918143923, -0.02079512918143884
-0.01765411841920436, -0.0176541184192042
-0.0145129334179481, -0.01451293341794801
-0.01137160517989817, -0.0113716051798981
-0.008230164708696034, -0.008230164708695972
-0.005088643009090879, -0.005088643009090817
-0.001947071086633592, -0.001947071086633531
0.001194520052629254, 0.001194520052629316
0.004336099402461429, 0.004336099402461491
0.007477635956743056, 0.007477635956743117
0.01061909870977664, 0.01061909870977669
0.01376045665659307, 0.01376045665659311
0.01690167879325766, 0.01690167879325765
0.02004273411717618, 0.02004273411717598
0.0231835916274008, 0.02318359162740015
0.02632422032493623, 0.02632422032493455
0.02946458921304564, 0.02946458921304187
0.03260466729755671, 0.03260466729754899
0.03574442358716767, 0.03574442358715291
0.0388838270937533, 0.03888382709372665
0.04202284683267095,  0.042022846832625
0.04516145182306657, 0.04516145182299042
0.04829961108818071, 0.04829961108805877
0.05143729365565456, 0.05143729365546502
0.05457446855783597, 0.05457446855754896
0.05771110483208546, 0.05771110483166085
0.06084717152108223, 0.06084717152046696
0.0639826376731302, 0.06398263767225516
0.06711747234246401, 0.06711747234124038
